Company Name / 회사명,Type / 유형,HQ Location / 본사 위치,Area / 지역,AUM ($Bil),AUM (억원),AREA(지역),주주여부
케이비자산운용,Mutual,서울,0, 91 ," 1,276,195 ",Korea,
케이씨지아이대체투자운용,Mutual,서울,0, 0 ," 1,780 ",Korea,
케이씨지아이자산운용,Mutual,서울,0, 1 ," 18,311 ",Korea,
케이에스디자산운용,Mutual,서울,0, 0 , 52 ,Korea,
케이에스에프자산운용,Mutual,서울,0, 0 , 205 ,Korea,
케이에스자산운용,Mutual,서울,0, 0 , 255 ,Korea,
케이와이자산운용,Mutual,서울,0, 0 , 670 ,Korea,
케이원자산운용,Mutual,서울,0, 0 , 391 ,Korea,
케이지티자산운용,Mutual,서울,0, 0 , 213 ,Korea,
케이클라비스자산운용,Mutual,서울,0, 1 ," 8,012 ",Korea,
케이티투자운용,Mutual,서울,0, 0 ," 3,613 ",Korea,
케이펙스자산운용,Mutual,서울,0, 0 ," 1,360 ",Korea,
케이프리덤자산운용,Mutual,서울,0, 0 , 174 ,Korea,
케이프투자증권,Mutual,서울,0, 0 ," 1,812 ",Korea,
케이핀자산운용,Mutual,서울,0, 0 , 832 ,Korea,
케펠자산운용,Mutual,서울,0, 1 ," 9,019 ",Korea,
케플러자산운용,Mutual,서울,0, 0 , 86 ,Korea,
켄달스퀘어자산운용,Mutual,서울,0, 3 ," 47,864 ",Korea,
코너스톤자산운용,Mutual,서울,0, 0 , 326 ,Korea,
코람코자산운용,Mutual,서울,0, 3 ," 39,668 ",Korea,
코레이트자산운용,Mutual,서울,0, 3 ," 48,245 ",Korea,
코리아에셋투자증권,Mutual,서울,0, 0 ," 1,206 ",Korea,
코리아자산운용,Mutual,서울,0, 0 ," 1,181 ",Korea,
코어자산운용,Mutual,서울,0, 0 , 357 ,Korea,
쿼드자산운용,Mutual,서울,0, 2 ," 27,139 ",Korea,
쿼터백자산운용,Mutual,서울,0, 0 , 723 ,Korea,
퀀트인자산운용,Mutual,서울,0, 0 , 578 ,Korea,
